user_id,item_id,timestamp
1,8868,1
1,8869,1
1,761,1
1,3560,1
1,5585,1
1,2480,1
1,3676,1
1,572,1
1,3155,1
1,7490,1
1,7643,1
2,7526,1
2,8049,1
2,3326,1
2,7112,1
2,728,1
2,11202,1
2,822,1
2,6439,1
2,6784,1
2,8065,1
3,3481,1
3,1649,1
3,2512,1
3,4423,1
3,1407,1
3,4373,1
3,4815,1
3,5701,1
3,6335,1
3,6100,1
3,6101,1
3,6099,1
3,6076,1
3,2638,1
3,1854,1
3,3887,1
3,7606,1
3,2395,1
3,8092,1
3,8886,1
3,4246,1
3,6173,1
3,7849,1
3,8543,1
3,9358,1
3,7627,1
3,8449,1
3,30,1
3,2278,1
3,10061,1
3,9511,1
3,10049,1
3,10485,1
3,10577,1
3,812,1
3,10568,1
3,10827,1
3,10737,1
3,9232,1
3,11587,1
3,11649,1
3,4721,1
3,7267,1
3,9670,1
3,6931,1
3,9539,1
3,11887,1
3,11816,1
3,11972,1
3,8537,1
3,7174,1
3,8834,1
3,9988,1
3,12001,1
3,11617,1
3,9993,1
3,12522,1
3,872,1
3,4237,1
3,417,1
3,7270,1
3,12676,1
3,12621,1
3,12968,1
3,13074,1
3,13088,1
3,9136,1
4,7439,1
4,8789,1
4,10811,1
4,9953,1
4,10010,1
4,10576,1
4,10471,1
4,10774,1
4,10874,1
4,9530,1
4,11112,1
4,10627,1
4,11135,1
4,10343,1
4,11351,1
4,11375,1
4,11500,1
4,4782,1
4,11515,1
4,10233,1
4,11187,1
4,11802,1
4,11934,1
4,11998,1
4,10731,1
4,11886,1
4,11427,1
4,12100,1
4,12010,1
4,11881,1
4,12483,1
4,12565,1
4,12568,1
4,13880,1
4,12672,1
4,10355,1
4,12773,1
4,12928,1
4,12941,1
4,13054,1
4,13084,1
4,13113,1
4,13162,1
4,13163,1
4,13309,1
4,13459,1
4,13454,1
4,9494,1
4,11056,1
4,13592,1
4,13655,1
4,13835,1
4,13769,1
4,13899,1
4,14120,1
4,13917,1
4,13942,1
4,13992,1
4,13613,1
4,14059,1
4,13933,1
5,9085,1
5,9528,1
5,2231,1
5,11232,1
5,11568,1
5,1012,1
5,8553,1
6,6111,1
6,8036,1
6,7576,1
6,6613,1
6,8817,1
6,8893,1
6,9003,1
6,7019,1
6,8540,1
6,9436,1
6,9171,1
6,8824,1
6,9422,1
6,5803,1
6,971,1
6,9521,1
6,1983,1
6,11333,1
6,11660,1
7,378,1
7,571,1
7,1396,1
7,4524,1
7,6543,1
7,7079,1
7,7549,1
7,6551,1
7,2498,1
7,102,1
7,670,1
7,972,1
7,2636,1
7,3368,1
7,5991,1
7,6094,1
7,6781,1
7,6970,1
7,7823,1
7,8784,1
7,9358,1
7,10860,1
7,1605,1
7,3141,1
7,4399,1
7,7728,1
7,7985,1
7,9947,1
7,10320,1
7,10594,1
7,10801,1
7,1966,1
7,8911,1
7,10098,1
7,9071,1
7,9288,1
7,10881,1
7,2079,1
7,5195,1
7,5498,1
7,8169,1
7,11090,1
7,11210,1
7,11341,1
7,11353,1
7,11491,1
7,11982,1
8,1999,1
8,2115,1
8,2959,1
8,4206,1
8,4883,1
8,6423,1
8,7553,1
9,2129,1
9,6775,1
9,9175,1
9,10202,1
9,8376,1
9,1307,1
9,6861,1
9,6383,1
10,7706,1
10,3094,1
10,6455,1
10,3778,1
10,9269,1
10,2633,1
10,11456,1
11,6636,1
11,6980,1
11,5291,1
11,6553,1
11,8220,1
11,8409,1
11,9552,1
11,6865,1
11,9779,1
11,11295,1
11,12477,1
11,10727,1
11,13170,1
12,7818,1
12,2638,1
12,7856,1
12,8449,1
12,9020,1
12,8272,1
12,2005,1
12,10231,1
12,10286,1
12,7993,1
12,4002,1
12,10701,1
12,10577,1
12,5850,1
12,4919,1
12,11572,1
12,11476,1
12,10883,1
12,8418,1
12,12236,1
12,5095,1
12,12001,1
12,12662,1
12,10902,1
12,11816,1
13,3675,1
13,3869,1
13,449,1
13,3728,1
13,3682,1
13,3750,1
13,4320,1
13,3848,1
14,7083,1
14,7618,1
14,7195,1
14,7736,1
14,8070,1
14,6848,1
14,8601,1
14,8609,1
14,8246,1
15,3263,1
15,1319,1
15,1345,1
15,3792,1
15,4107,1
15,4837,1
15,7222,1
16,1284,1
16,1956,1
16,83,1
16,266,1
16,1680,1
16,467,1
16,899,1
16,373,1
16,442,1
16,1202,1
16,1203,1
16,1362,1
16,1504,1
16,900,1
17,2610,1
17,8710,1
17,7253,1
17,7576,1
17,8976,1
17,8817,1
17,7107,1
17,9873,1
17,11105,1
17,9731,1
17,10650,1
17,4872,1
17,11866,1
17,7649,1
17,2874,1
17,11335,1
17,12211,1
17,8269,1
17,8151,1
17,15614,1
17,13676,1
17,13719,1
17,13349,1
17,13348,1
17,13530,1
17,13886,1
17,8150,1
17,13956,1
17,13657,1
17,11498,1
17,12846,1
17,12843,1
17,12842,1
17,12845,1
17,12844,1
17,14641,1
17,14604,1
17,14631,1
17,14624,1
17,14785,1
